dataset,bias,is_correct_count,is_correct_sum,is_correct_mean,tests_requested_count_mean,tests_requested_count_std,diagnoses_considered_count_mean,diagnoses_considered_count_std,disagreements_mean,disagreements_std,accuracy
MedQA,affective,25,16,0.64,0.8,1.5545631755148026,6.6,2.3804761428476167,0.0,0.0,64.0
MedQA,age,25,15,0.6,0.76,1.3,6.96,3.888873015840622,0.0,0.0,60.0
MedQA,aggregate,25,17,0.68,0.48,0.8717797887081346,5.44,2.3288051299611423,0.0,0.0,68.0
MedQA,anchoring,25,19,0.76,0.28,0.6782329983125267,6.2,2.0816659994661326,0.0,0.0,76.0
MedQA,availability,25,18,0.72,0.52,1.0456258094238748,5.76,2.3853720883753127,0.0,0.0,72.0
MedQA,bandwagon,25,17,0.68,0.68,1.5198684153570663,6.56,2.2744962812309306,0.0,0.0,68.0
MedQA,commission,25,18,0.72,0.32,0.5567764362830022,6.92,3.946728603117608,0.0,0.0,72.0
MedQA,confirmation,25,17,0.68,0.72,1.4294521094927712,6.8,4.193248541803041,0.0,0.0,68.0
MedQA,cultural,25,19,0.76,0.72,1.369914839202301,5.92,3.2264531609803355,0.0,0.0,76.0
MedQA,diagnosis_momentum,25,17,0.68,0.72,1.2754084313139327,5.76,2.2781571499789037,0.0,0.0,68.0
MedQA,disability,25,16,0.64,0.72,1.6960738977611403,6.08,2.4650895859312425,0.0,0.0,64.0
MedQA,education,25,17,0.68,0.48,1.0456258094238748,6.28,3.1559467676118995,0.0,0.0,68.0
MedQA,false_consensus,25,19,0.76,0.48,1.1224972160321822,6.52,3.3431522051301625,0.0,0.0,76.0
MedQA,frequency,25,18,0.72,0.32,0.47609522856952324,5.8,2.309401076758503,0.0,0.0,72.0
MedQA,gamblers_fallacy,25,17,0.68,1.0,1.7559422921421233,6.4,2.9439202887759492,0.0,0.0,68.0
MedQA,gender,25,19,0.76,0.4,0.7071067811865476,6.68,3.3131052906098026,0.0,0.0,76.0
MedQA,mental_health,25,19,0.76,0.76,1.4798648586948742,6.16,2.9535289626704753,0.0,0.0,76.0
MedQA,none,25,20,0.8,0.48,0.6531972647421809,5.88,2.4207436873820414,0.0,0.0,80.0
MedQA,omission,25,19,0.76,0.72,1.3699148392023013,5.6,2.0615528128088303,0.0,0.0,76.0
MedQA,outcome,25,16,0.64,0.44,1.1575836902790226,6.72,2.937118769588092,0.0,0.0,64.0
MedQA,overconfidence,25,14,0.56,0.44,1.5022205785658331,6.48,2.6159765544311235,0.0,0.0,56.00000000000001
MedQA,premature_closure,25,12,0.48,0.56,1.4165686240583852,6.2,2.798809270624444,0.0,0.0,48.0
MedQA,race,25,14,0.56,0.52,1.004987562112089,6.04,1.9891371663780923,0.0,0.0,56.00000000000001
MedQA,recency,25,18,0.72,0.44,0.6506407098647712,6.24,3.269556544854363,0.0,0.0,72.0
MedQA,religion,25,15,0.6,0.68,1.6,5.92,2.253145948816158,0.0,0.0,60.0
MedQA,representativeness,25,16,0.64,0.12,0.33166247903553997,6.4,2.6457513110645903,0.0,0.0,64.0
MedQA,sexual_orientation,25,16,0.64,0.4,1.118033988749895,5.72,2.525206262202489,0.0,0.0,64.0
MedQA,socioeconomic,25,16,0.64,0.52,1.1590225767142472,5.8,2.179449471770337,0.0,0.0,64.0
MedQA,status_quo,25,17,0.68,0.48,0.7702813338860894,6.24,2.71231758219178,0.0,0.0,68.0
MedQA,sunk_cost,25,17,0.68,0.72,1.3391539617733776,5.96,3.1947874212013962,0.0,0.0,68.0
MedQA,suttons_slip,25,16,0.64,0.56,1.3564659966250534,7.0,3.894440481849307,0.0,0.0,64.0
MedQA,vertical_line_failure,25,15,0.6,0.96,1.4854853303438127,5.68,2.1740898478827106,0.0,0.0,60.0
MedQA,weight,25,19,0.76,0.6,1.6072751268321592,6.2,2.723355773061366,0.0,0.0,76.0
MedQA,zebra_retreat,25,15,0.6,0.28,0.6137317546507324,6.92,2.7067816067549053,0.0,0.0,60.0
NEJM,availability,25,10,0.4,0.48,0.714142842854285,7.48,3.1770006819850285,0.0,0.0,40.0
NEJM,commission,24,8,0.3333333333333333,0.4166666666666667,0.8297022339981068,7.25,2.690563218878644,0.0,0.0,33.33333333333333
NEJM,confirmation,25,12,0.48,0.8,1.118033988749895,7.48,3.6414282912066245,0.0,0.0,48.0
NEJM,diagnosis_momentum,25,12,0.48,0.6,1.0000000000000002,7.36,2.9280255007997,0.0,0.0,48.0
NEJM,false_consensus,25,8,0.32,0.36,0.6377042156569664,8.2,3.2274861218395148,0.0,0.0,32.0
NEJM,frequency,25,11,0.44,0.52,0.7702813338860895,7.88,2.9625439518539918,0.0,0.0,44.0
NEJM,gamblers_fallacy,25,11,0.44,0.44,0.7118052168020874,8.8,3.265986323710904,0.0,0.0,44.0
NEJM,none,25,13,0.52,0.64,0.9521904571390467,8.2,2.70801280154532,0.0,0.0,52.0
NEJM,omission,25,10,0.4,0.44,0.6506407098647712,7.2,2.380476142847616,0.0,0.0,40.0
NEJM,overconfidence,25,9,0.36,0.4,0.5773502691896257,9.16,3.023243291566195,0.0,0.0,36.0
NEJM,premature_closure,25,11,0.44,0.48,0.8717797887081346,8.2,3.188521078284832,0.0,0.0,44.0
NEJM,recency,25,11,0.44,0.84,1.2806248474865698,8.52,3.7762415176998405,0.0,0.0,44.0
NEJM,representativeness,25,11,0.44,0.52,1.0456258094238748,7.28,3.6115555282084935,0.0,0.0,44.0
NEJM,status_quo,25,11,0.44,0.52,0.8717797887081346,7.48,3.083828789021855,0.0,0.0,44.0
NEJM,sunk_cost,2,1,0.5,0.0,0.0,7.0,4.242640687119285,0.0,0.0,50.0
